Biere;;;
;;;
Export - Biere 0,5 Liter ;Anzahl/Ltr. ;Preis ;Pfand
Coca-Cola ;24 x 0,33 lt ;17,95;5,10
Coca-Cola light ;24 x 0,33 lt ;17,95;5,10
Coca-Cola Zero ;24 x 0,33 lt ;17,95;5,10
Fanta Orange ;24 x 0,33 lt ;17,95;5,10
Lift Apfelsaftschorle ;24 x 0,33 lt ;17,95;5,10
Mezzo-Mix ;24 x 0,33 lt ;17,95;5,10
Sprite ;24 x 0,33 lt ;17,95;5,10
  ;  ;  ; 
Glasflasche 0,5 Liter ;Anzahl/Ltr. ;Preis ;Pfand
Coca-Cola ;20 x 0,5 lt ;18,45;4,50
Coca-Cola light ;20 x 0,5 lt ;18,45;4,50
Coca-Cola Zero ;20 x 0,5 lt ;18,45;4,50
  ;  ;  ; 
PEW Flasche 0,5 Liter ;Anzahl/Ltr. ;Preis ;Pfand
Coca-Cola ;12 x 0,5 lt ;13,25;4,50
Coca-Cola light ;12 x 0,5 lt ;13,25;4,50
Coca-Cola Zero ;12 x 0,5 lt ;13,25;4,50
Fanta Orange ;12 x 0,5 lt ;13,25;4,50
Lift Apfelsaftschorle ;12 x 0,5 lt ;13,25;4,50
Mezzo-Mix ;12 x 0,5 lt ;13,25;4,50
Sprite ;12 x 0,5 lt ;13,25;4,50
Sprite Zero ;12 x 0,5 lt ;13,25;4,50
  ;  ;  ; 
Pet Flasche 1,0 Liter ;Anzahlt/Ltr. ;Preis ;Pfand
Coca-Cola ;12 x 1,0 lt ;14,50;3,30
Coca-Cola light ;12 x 1,0 lt ;14,50;3,30
Coca-Cola koffeinfrei ;12 x 1,0 lt ;14,50;3,30
Coca-Cola Zero ;12 x 1,0 lt ;14,50;3,30
Fanta Orange ;12 x 1,0 lt ;14,50;3,30
Mezzo-Mix ;12 x 1,0 lt ;14,50;3,30
Sprite ;12 x 1,0 lt ;14,50;3,30
;;;
;;;
Mineralwässer;;;
;;;
Mineralwasser Classic ;Anzahl/Ltr ;Preis ;Pfand
Alwa Classic PET ;12 x 1,0 lt ;7,95;3,30
Apollinaris Classic PET ;10 x 1,0 lt ;8,50;3,00
Ensinger Sport PET ;9 x 1,0 lt ;7,95;3,75
Gerolsteiner Classic ;12 x 1,0 lt ;9,50;3,30
